x,y,gender,,,,,,,,,,,,,,,,,,,,,,,,,
89,38.30785714,Female,,,,,,,,,,,,,,,,,,,,,,,,,
90,38.31285714,Female,,,,,,,,,,,,,,,,,,,,,,,,,
91,38.32642857,Female,,,,,,,,,,,,,,,,,,,,,,,,,
92,38.32785714,Female,,,,,,,,,,,,,,,,,,,,,,,,,
93,38.31928571,Female,,,,,,,,,,,,,,,,,,,,,,,,,
94,38.31857143,Female,,,,,,,,,,,,,,,,,,,,,,,,,
95,38.32642857,Female,,,,,,,,,,,,,,,,,,,,,,,,,
96,38.34214286,Female,,,,,,,,,,,,,,,,,,,,,,,,,
97,38.34857143,Female,,,,,,,,,,,,,,,,,,,,,,,,,
98,38.34285714,Female,,,,,,,,,,,,,,,,,,,,,,,,,
99,38.32857143,Female,,,,,,,,,,,,,,,,,,,,,,,,,
100,38.34428571,Female,,,,,,,,,,,,,,,,,,,,,,,,,
101,38.335,Female,,,,,,,,,,,,,,,,,,,,,,,,,
102,38.31071429,Female,,,,,,,,,,,,,,,,,,,,,,,,,
103,38.28785714,Female,,,,,,,,,,,,,,,,,,,,,,,,,
104,38.28,Female,,,,,,,,,,,,,,,,,,,,,,,,,
105,38.25928571,Female,,,,,,,,,,,,,,,,,,,,,,,,,
106,38.28,Female,,,,,,,,,,,,,,,,,,,,,,,,,
107,38.30357143,Female,,,,,,,,,,,,,,,,,,,,,,,,,
108,38.27928571,Female,,,,,,,,,,,,,,,,,,,,,,,,,
109,38.26214286,Female,,,,,,,,,,,,,,,,,,,,,,,,,
110,38.25857143,Female,,,,,,,,,,,,,,,,,,,,,,,,,
111,38.25857143,Female,,,,,,,,,,,,,,,,,,,,,,,,,
112,38.27357143,Female,,,,,,,,,,,,,,,,,,,,,,,,,
113,38.29071429,Female,,,,,,,,,,,,,,,,,,,,,,,,,
114,38.26928571,Female,,,,,,,,,,,,,,,,,,,,,,,,,
115,38.24714286,Female,,,,,,,,,,,,,,,,,,,,,,,,,
116,38.22928571,Female,,,,,,,,,,,,,,,,,,,,,,,,,
117,38.22714286,Female,,,,,,,,,,,,,,,,,,,,,,,,,
118,38.235,Female,,,,,,,,,,,,,,,,,,,,,,,,,
119,38.25,Female,,,,,,,,,,,,,,,,,,,,,,,,,
120,38.27857143,Female,,,,,,,,,,,,,,,,,,,,,,,,,
121,38.29642857,Female,,,,,,,,,,,,,,,,,,,,,,,,,
122,38.31,Female,,,,,,,,,,,,,,,,,,,,,,,,,
123,38.32285714,Female,,,,,,,,,,,,,,,,,,,,,,,,,
124,38.31071429,Female,,,,,,,,,,,,,,,,,,,,,,,,,
125,38.28928571,Female,,,,,,,,,,,,,,,,,,,,,,,,,
126,38.26785714,Female,,,,,,,,,,,,,,,,,,,,,,,,,
127,38.25642857,Female,,,,,,,,,,,,,,,,,,,,,,,,,
128,38.24571429,Female,,,,,,,,,,,,,,,,,,,,,,,,,
129,38.23571429,Female,,,,,,,,,,,,,,,,,,,,,,,,,
130,38.23285714,Female,,,,,,,,,,,,,,,,,,,,,,,,,
131,38.24,Female,,,,,,,,,,,,,,,,,,,,,,,,,
132,38.27642857,Female,,,,,,,,,,,,,,,,,,,,,,,,,
133,38.28714286,Female,,,,,,,,,,,,,,,,,,,,,,,,,
134,38.27285714,Female,,,,,,,,,,,,,,,,,,,,,,,,,
135,38.30785714,Female,,,,,,,,,,,,,,,,,,,,,,,,,
136,38.33357143,Female,,,,,,,,,,,,,,,,,,,,,,,,,
137,38.31857143,Female,,,,,,,,,,,,,,,,,,,,,,,,,
138,38.3,Female,,,,,,,,,,,,,,,,,,,,,,,,,
139,38.31785714,Female,,,,,,,,,,,,,,,,,,,,,,,,,
140,38.29357143,Female,,,,,,,,,,,,,,,,,,,,,,,,,
141,38.27,Female,,,,,,,,,,,,,,,,,,,,,,,,,
142,38.245,Female,,,,,,,,,,,,,,,,,,,,,,,,,
143,38.23428571,Female,,,,,,,,,,,,,,,,,,,,,,,,,
144,38.22714286,Female,,,,,,,,,,,,,,,,,,,,,,,,,
145,38.24285714,Female,,,,,,,,,,,,,,,,,,,,,,,,,
146,38.26642857,Female,,,,,,,,,,,,,,,,,,,,,,,,,
147,38.28857143,Female,,,,,,,,,,,,,,,,,,,,,,,,,
148,38.31571429,Female,,,,,,,,,,,,,,,,,,,,,,,,,
